library,code,name,slug,description,icon_hint,color_hint,sort_order,is_active,theme,id,battle_role,stat_focus,gameplay_role,behavior_rule,effect_type,default_duration,stackable,example_use_case,rank_order
affiliations,AFF001,Forest,forest,"Power drawn from ancient trees, vines, wildlife, and living groves.",tree,#2F8F46,1,True,"Nature, healing, roots, protection",1,,,,,,,,,
affiliations,AFF002,Mountain,mountain,"Power drawn from cliffs, stone peaks, endurance, and sacred highlands.",mountain,#7A6A58,2,True,"Defense, resilience, altitude, silence",2,,,,,,,,,
affiliations,AFF003,River,river,"Power drawn from freshwater, currents, rain-fed streams, and healing waters.",waves,#3B82C4,3,True,"Healing, flow, cleansing, movement",3,,,,,,,,,
affiliations,AFF004,Sea,sea,"Power drawn from oceans, tides, reefs, storms, and maritime mysteries.",anchor,#1D5F8F,4,True,"Tides, storms, depth, mystery",4,,,,,,,,,
affiliations,AFF005,Sky,sky,"Power drawn from wind, clouds, birds, lightning, and open horizons.",cloud-lightning,#7AAEDB,5,True,"Speed, vision, lightning, freedom",5,,,,,,,,,
affiliations,AFF006,Sacred,sacred,"Power drawn from blessing, ritual purity, vows, prayer, and sanctuaries.",sparkles,#F6D365,6,True,"Protection, cleansing, hope, wards",6,,,,,,,,,
affiliations,AFF007,Shadow,shadow,"Power drawn from fear, night, secrets, curses, and hidden places.",moon,#2D2640,7,True,"Ambush, fear, curse, concealment",7,,,,,,,,,
affiliations,AFF008,Underworld,underworld,"Power drawn from death, decay, bones, ancestral thresholds, and lost souls.",skull,#4A3B36,8,True,"Doom, rot, ghosts, passage",8,,,,,,,,,
affiliations,AFF009,Fire,fire,"Power drawn from flame, volcanoes, heat, rage, and transformation.",flame,#D95F32,9,True,"Burn, fury, purification, forging",9,,,,,,,,,
affiliations,AFF010,Earth,earth,"Power drawn from soil, roots, minerals, clay, and buried memory.",gem,#8B6F47,10,True,"Defense, grounding, harvest, minerals",10,,,,,,,,,
affiliations,AFF011,Spirit,spirit,"Power drawn from raw spiritual force, unseen realms, and dreamlike presence.",swirl,#9B7EDE,11,True,"Energy, souls, astral effects",11,,,,,,,,,
affiliations,AFF012,Trickster,trickster,"Power drawn from misdirection, jokes, illusions, games, and reversed paths.",mask,#D487C8,12,True,"Confusion, evasion, puzzles",12,,,,,,,,,
affiliations,AFF013,Beast,beast,"Power drawn from instinct, claws, fangs, wild motion, and animal strength.",paw,#A86B3D,13,True,"Physical force, hunting, survival",13,,,,,,,,,
affiliations,AFF014,Divine,divine,"Power drawn from celestial authority, ancient vows, and rare heavenly favor.",sun,#FFE082,14,True,"Mythic power, miracles, judgment",14,,,,,,,,,
affiliations,AFF015,Corruption,corruption,"Power drawn from broken balance, spiritual infection, obsession, and despair.",crack,#7F1D1D,15,True,"Twisted forms, decay, frenzy",15,,,,,,,,,
affiliations,AFF016,Moon,moon,"Power drawn from moonlight, tides, dreams, sleep, mystery, and hidden truths.",crescent-moon,#B8C7FF,16,True,"Dreams, sleep, mystery, tides",16,,,,,,,,,
affiliations,AFF017,Sun,sun,"Power drawn from daylight, growth, warmth, truth, and purification.",sunrise,#FFB84D,17,True,"Vitality, reveal, cleanse, courage",17,,,,,,,,,
affiliations,AFF018,Ancestor,ancestor,"Power drawn from memory, lineage, old names, inherited duty, and family spirits.",scroll,#C7A76C,18,True,"Memory, wisdom, protection",18,,,,,,,,,
affiliations,AFF019,Storm,storm,"Power drawn from typhoons, thunder, monsoon winds, and sudden change.",cloud-bolt,#5C7CFA,19,True,"Lightning, disruption, speed",19,,,,,,,,,
affiliations,AFF020,Mist,mist,"Power drawn from fog, mountain haze, vanishing paths, and uncertain borders.",cloud-fog,#A7C7C9,20,True,"Evasion, concealment, dreams",20,,,,,,,,,
affiliations,AFF021,Blood,blood,"Power drawn from life force, hunger, sacrifice, wounds, and cursed appetite.",droplet,#9F1239,21,True,"Bleed, drain, risk, sacrifice",21,,,,,,,,,
affiliations,AFF022,Dream,dream,"Power drawn from sleep, visions, omens, nightmares, and prophecy.",eye-closed,#8B5CF6,22,True,"Sleep, prophecy, illusion",22,,,,,,,,,
affiliations,AFF023,Metal,metal,"Power drawn from blades, bells, chains, coins, gongs, and forged relics.",shield,#6B7280,23,True,"Armor, weapons, resonance",23,,,,,,,,,
affiliations,AFF024,Poison,poison,"Power drawn from venom, rot, bitter herbs, insects, and toxic curses.",bug,#6E8B3D,24,True,"Poison, decay, weakening",24,,,,,,,,,
combat_classes,CLS001,Guardian,guardian,A protector that shields allies and controls enemy attention.,shield,#4F6F52,1,True,,1,"Defense, HP, spirit defense","Defense, HP, spirit defense",,,,,,,
combat_classes,CLS002,Tank,tank,A durable frontliner built to absorb punishment.,square,#586069,2,True,,2,"HP, defense","HP, defense",,,,,,,
combat_classes,CLS003,Warrior,warrior,A balanced physical fighter with reliable damage.,sword,#9A5A2E,3,True,,3,"Attack, defense","Attack, defense",,,,,,,
combat_classes,CLS004,Berserker,berserker,A reckless attacker that trades safety for power.,axe,#B91C1C,4,True,,4,"Attack, HP","Attack, HP",,,,,,,
combat_classes,CLS005,Ranger,ranger,A precise ranged fighter that uses positioning and accuracy.,bow,#6B8E23,5,True,,5,"Speed, attack, luck","Speed, attack, luck",,,,,,,
combat_classes,CLS006,Assassin,assassin,A fast striker focused on critical hits and finishing weakened foes.,dagger,#3F2A56,6,True,,6,"Speed, luck, attack","Speed, luck, attack",,,,,,,
combat_classes,CLS007,Mage,mage,"A spiritual damage dealer using curses, elements, or celestial force.",wand,#5B4BAA,7,True,,7,"Magic, spirit defense","Magic, spirit defense",,,,,,,
combat_classes,CLS008,Shaman,shaman,"A ritual caster that uses spirits, wards, and nature rites.",drum,#8B5E34,8,True,,8,"Magic, faith, spirit defense","Magic, faith, spirit defense",,,,,,,
combat_classes,CLS009,Healer,healer,A recovery specialist that restores allies and removes conditions.,heart,#58A55C,9,True,,9,"Faith, spirit defense","Faith, spirit defense",,,,,,,
combat_classes,CLS010,Support,support,"A utility role focused on buffs, protection, and team advantage.",hand-helping,#3B82F6,10,True,,10,"Faith, speed","Faith, speed",,,,,,,
combat_classes,CLS011,Controller,controller,"A battlefield manipulator that applies disables, slows, and forced movement.",web,#7C3AED,11,True,,11,"Magic, speed","Magic, speed",,,,,,,
combat_classes,CLS012,Summoner,summoner,"A caller of spirits, echoes, familiars, or temporary guardians.",circle-dot,#7E57C2,12,True,,12,"Magic, faith","Magic, faith",,,,,,,
combat_classes,CLS013,Trickster,trickster,"A disruptive role based on evasion, confusion, traps, and misdirection.",dice,#EC4899,13,True,,13,"Luck, speed","Luck, speed",,,,,,,
combat_classes,CLS014,Warden,warden,A territorial defender that grows stronger inside its favored habitat.,tree-pine,#2E7D32,14,True,,14,"Defense, faith","Defense, faith",,,,,,,
combat_classes,CLS015,Oracle,oracle,A rare support-mage that reads omens and alters probability.,eye,#F6C453,15,True,,15,"Faith, luck","Faith, luck",,,,,,,
nilalang_orders,ORD001,Espiritu,espiritu,"Nature spirits and unseen beings tied to rivers, trees, wind, and sacred places.",sparkle,#88C999,1,True,,1,,,Maintain natural balance and guide worthy travelers.,,,,,,
nilalang_orders,ORD002,Bantay,bantay,"Guardians that protect places, relics, thresholds, forests, mountains, or communities.",shield,#6A8F5A,2,True,,2,,,Defend territory and judge human intentions.,,,,,,
nilalang_orders,ORD003,Hayop,hayop,"Mythical beasts and spirit animals that embody instinct, omens, and wild power.",paw,#A66A3F,3,True,,3,,,"Serve as wild companions, predators, messengers, and mounts.",,,,,,
nilalang_orders,ORD004,Tao,tao,"Humans transformed by curse, ritual, hunger, grief, blessing, or forbidden knowledge.",user-round,#8A4A4A,4,True,,4,,,Represent human choices and moral consequences.,,,,,,
nilalang_orders,ORD005,Kaluluwa,kaluluwa,"Ghosts, wandering souls, ancestral echoes, and remnants bound by memory.",ghost,#AAB4C8,5,True,,5,,,"Preserve memory, haunt places, or seek resolution.",,,,,,
nilalang_orders,ORD006,Diyos,diyos,Divine or near-divine entities of immense spiritual authority.,crown,#F5D76E,6,True,,6,,,Shape mythic events and rarely join ordinary parties.,,,,,,
nilalang_orders,ORD007,Salinlahi,salinlahi,"Lineage-bound beings tied to family duty, ancestral houses, or inherited vows.",scroll,#BFA16A,7,True,,7,,,Protect bloodlines and remembered names.,,,,,,
nilalang_orders,ORD008,Likha,likha,"Constructs, enchanted objects, living idols, and beings shaped by ritual craft.",hammer,#7A7F85,8,True,,8,,,"Guard shrines, relics, tools, and old agreements.",,,,,,
personality_traits,PER001,Wise,wise,Thinks before acting and values old lessons.,brain,#A78BFA,1,True,,1,,,,,,,,,
personality_traits,PER002,Protective,protective,"Defends allies, territory, and vulnerable beings.",shield-heart,#4ADE80,2,True,,2,,,,,,,,,
personality_traits,PER003,Territorial,territorial,Challenges intruders but may respect proper offerings.,map-pin,#F97316,3,True,,3,,,,,,,,,
personality_traits,PER004,Mischievous,mischievous,"Enjoys jokes, riddles, tricks, and confusing travelers.",laugh,#EC4899,4,True,,4,,,,,,,,,
personality_traits,PER005,Curious,curious,"Approaches unfamiliar people, objects, and rituals.",search,#60A5FA,5,True,,5,,,,,,,,,
personality_traits,PER006,Proud,proud,"Values honor, respect, and recognition.",crown,#FACC15,6,True,,6,,,,,,,,,
personality_traits,PER007,Patient,patient,"Waits, watches, and acts only when the moment is right.",hourglass,#94A3B8,7,True,,7,,,,,,,,,
personality_traits,PER008,Vengeful,vengeful,Remembers offenses and responds harshly to disrespect.,flame,#DC2626,8,True,,8,,,,,,,,,
personality_traits,PER009,Compassionate,compassionate,Helps the weak and responds well to mercy.,heart,#FB7185,9,True,,9,,,,,,,,,
personality_traits,PER010,Stoic,stoic,Rarely shows emotion and resists intimidation.,mountain,#78716C,10,True,,10,,,,,,,,,
personality_traits,PER011,Playful,playful,Treats conflict like a game unless seriously threatened.,gamepad,#F472B6,11,True,,11,,,,,,,,,
personality_traits,PER012,Cunning,cunning,"Uses traps, feints, and indirect plans.",fox,#C084FC,12,True,,12,,,,,,,,,
personality_traits,PER013,Loyal,loyal,Bonds deeply once trust is earned.,handshake,#22C55E,13,True,,13,,,,,,,,,
personality_traits,PER014,Timid,timid,Avoids conflict and prefers hiding or fleeing.,leaf,#86EFAC,14,True,,14,,,,,,,,,
personality_traits,PER015,Aggressive,aggressive,Attacks quickly when threatened.,swords,#EF4444,15,True,,15,,,,,,,,,
personality_traits,PER016,Noble,noble,Acts according to duty and personal code.,medal,#FBBF24,16,True,,16,,,,,,,,,
personality_traits,PER017,Melancholic,melancholic,"Carries sorrow, longing, or old grief.",cloud-rain,#64748B,17,True,,17,,,,,,,,,
personality_traits,PER018,Greedy,greedy,"Desires offerings, treasure, food, or attention.",coins,#F59E0B,18,True,,18,,,,,,,,,
personality_traits,PER019,Judgmental,judgmental,Tests the character of humans before cooperating.,scale,#CBD5E1,19,True,,19,,,,,,,,,
personality_traits,PER020,Restless,restless,Moves constantly and dislikes being confined.,wind,#38BDF8,20,True,,20,,,,,,,,,
personality_traits,PER021,Secretive,secretive,"Conceals motives, names, and true forms.",lock,#475569,21,True,,21,,,,,,,,,
personality_traits,PER022,Honorable,honorable,Accepts fair duels and honest apologies.,sword,#A16207,22,True,,22,,,,,,,,,
personality_traits,PER023,Maternal,maternal,"Protects children, nests, young spirits, or villages.",baby,#FDA4AF,23,True,,23,,,,,,,,,
personality_traits,PER024,Scholarly,scholarly,"Values knowledge, stories, and old records.",book,#7DD3FC,24,True,,24,,,,,,,,,
personality_traits,PER025,Haunting,haunting,"Speaks through signs, echoes, dreams, and omens.",ghost,#A5B4FC,25,True,,25,,,,,,,,,
personality_traits,PER026,Devout,devout,"Responds strongly to vows, rituals, and sacred promises.",candle,#FDE68A,26,True,,26,,,,,,,,,
personality_traits,PER027,Chaotic,chaotic,Acts unpredictably and disrupts stable plans.,shuffle,#E879F9,27,True,,27,,,,,,,,,
personality_traits,PER028,Merciful,merciful,Prefers cleansing corruption over destroying enemies.,sprout,#4ADE80,28,True,,28,,,,,,,,,
personality_traits,PER029,Suspicious,suspicious,Requires proof before trusting humans.,eye,#94A3B8,29,True,,29,,,,,,,,,
personality_traits,PER030,Joyful,joyful,Brightens nearby allies and resists despair.,sun,#FCD34D,30,True,,30,,,,,,,,,
personality_traits,PER031,Somber,somber,"Carries dignity, silence, and awareness of death.",moon,#818CF8,31,True,,31,,,,,,,,,
personality_traits,PER032,Feral,feral,Driven by instinct more than speech.,claw,#92400E,32,True,,32,,,,,,,,,
personality_traits,PER033,Teacherly,teacherly,Guides younger beings through tests and stories.,graduation-cap,#38BDF8,33,True,,33,,,,,,,,,
personality_traits,PER034,Wandering,wandering,Rarely stays in one place for long.,footprints,#14B8A6,34,True,,34,,,,,,,,,
personality_traits,PER035,Ritualistic,ritualistic,Acts according to precise rites and taboos.,circle,#D8B4FE,35,True,,35,,,,,,,,,
personality_traits,PER036,Bold,bold,Takes risks and pushes forward.,zap,#F97316,36,True,,36,,,,,,,,,
personality_traits,PER037,Gentle,gentle,Uses power carefully to avoid unnecessary harm.,feather,#A7F3D0,37,True,,37,,,,,,,,,
personality_traits,PER038,Grieving,grieving,Bound to loss and unfinished farewell.,droplet,#60A5FA,38,True,,38,,,,,,,,,
personality_traits,PER039,Mocking,mocking,Taunts enemies to provoke mistakes.,message-circle,#F472B6,39,True,,39,,,,,,,,,
personality_traits,PER040,Dutiful,dutiful,Prioritizes assigned purpose above personal desire.,badge-check,#93C5FD,40,True,,40,,,,,,,,,
ai_behaviors,AI001,Aggressive Striker,aggressive-striker,Prioritizes direct damage and weakened targets.,swords,#EF4444,1,True,,1,,,,Attack first; use strongest available damage skill.,,,,,
ai_behaviors,AI002,Defensive Guardian,defensive-guardian,Protects allies and uses guard skills often.,shield,#4B5563,2,True,,2,,,,"Taunt enemies, shield allies, counterattack.",,,,,
ai_behaviors,AI003,Supportive Healer,supportive-healer,Keeps allies alive and removes negative effects.,heart-pulse,#22C55E,3,True,,3,,,,Heal low HP allies; cleanse dangerous statuses.,,,,,
ai_behaviors,AI004,Debuff Controller,debuff-controller,"Weakens enemies through slow, fear, blind, and curse.",web,#7C3AED,4,True,,4,,,,Apply disables before damage.,,,,,
ai_behaviors,AI005,Ambush Predator,ambush-predator,"Waits for openings, then bursts down vulnerable targets.",eye-off,#111827,5,True,,5,,,,"Hide, mark target, strike with high critical chance.",,,,,
ai_behaviors,AI006,Pack Hunter,pack-hunter,Coordinates attacks with allies of the same habitat.,paw,#A16207,6,True,,6,,,,Focus fire and gain bonuses near allies.,,,,,
ai_behaviors,AI007,Territory Warden,territory-warden,Becomes stronger while defending a marked zone.,map-pin,#2E7D32,7,True,,7,,,,Hold position and punish movement.,,,,,
ai_behaviors,AI008,Ritual Caster,ritual-caster,Uses setup turns to power major effects.,candle,#F59E0B,8,True,,8,,,,"Build charge, then release strong magic.",,,,,
ai_behaviors,AI009,Trickster Disruptor,trickster-disruptor,"Uses confusion, swapping, evasion, and random effects.",dice,#EC4899,9,True,,9,,,,Disrupt turn order and targeting.,,,,,
ai_behaviors,AI010,Summon Caller,summon-caller,"Calls spirits, echoes, insects, or minions.",circle-dot,#8B5CF6,10,True,,10,,,,Summon early; buff summons.,,,,,
ai_behaviors,AI011,Boss Phase Shifter,boss-phase-shifter,Changes tactics when HP thresholds are crossed.,layers,#DC2626,11,True,,11,,,,"Use phase scripts at 75%, 50%, and 25% HP.",,,,,
ai_behaviors,AI012,Cowardly Evader,cowardly-evader,Avoids damage and may flee when low on HP.,rabbit,#94A3B8,12,True,,12,,,,"Dodge, hide, flee if endangered.",,,,,
ai_behaviors,AI013,Counter Fighter,counter-fighter,"Lets enemies attack first, then retaliates.",rotate-ccw,#64748B,13,True,,13,,,,Guard and counter high-damage enemies.,,,,,
ai_behaviors,AI014,Berserk Finisher,berserk-finisher,Grows more dangerous at low HP.,flame,#B91C1C,14,True,,14,,,,Use reckless attacks when wounded.,,,,,
ai_behaviors,AI015,Cleansing Spirit,cleansing-spirit,Targets corrupted foes and protects sacred allies.,sparkles,#FDE68A,15,True,,15,,,,Prioritize purification and anti-corruption skills.,,,,,
ai_behaviors,AI016,Weather Caller,weather-caller,Changes the battlefield weather to gain advantage.,cloud-sun,#60A5FA,16,True,,16,,,,Cast weather skill early.,,,,,
ai_behaviors,AI017,Omen Reader,omen-reader,"Alters luck, crits, accuracy, and turn priority.",eye,#FACC15,17,True,,17,,,,Buff luck and manipulate probability.,,,,,
ai_behaviors,AI018,Poison Harrier,poison-harrier,Applies poison and survives while damage over time works.,bug,#65A30D,18,True,,18,,,,Poison first; avoid direct trades.,,,,,
ai_behaviors,AI019,Life Drainer,life-drainer,Damages enemies while restoring itself.,droplets,#9F1239,19,True,,19,,,,Use drain skills when below 70% HP.,,,,,
ai_behaviors,AI020,Shield Breaker,shield-breaker,Targets tanks and removes barriers.,hammer,#F97316,20,True,,20,,,,Break defense and punish guarding.,,,,,
ai_behaviors,AI021,Field Manipulator,field-manipulator,Creates terrain hazards and forced movement.,grid,#14B8A6,21,True,,21,,,,Place hazards and push enemies.,,,,,
ai_behaviors,AI022,Ally Buffer,ally-buffer,"Increases team attack, speed, defense, or faith.",music,#38BDF8,22,True,,22,,,,Buff before attacking.,,,,,
ai_behaviors,AI023,Duelist,duelist,Focuses on one enemy and avoids area attacks.,sword,#A855F7,23,True,,23,,,,Challenge strongest enemy.,,,,,
ai_behaviors,AI024,Relic Protector,relic-protector,Prioritizes defending objectives or shrines.,landmark,#D97706,24,True,,24,,,,Stay near objective; punish intruders.,,,,,
ai_behaviors,AI025,Night Stalker,night-stalker,Strongest at night and uses fear or stealth.,moon,#312E81,25,True,,25,,,,Use stealth and fear during night.,,,,,
ai_behaviors,AI026,Day Sentinel,day-sentinel,Strongest in daylight and uses reveal/cleanse skills.,sun,#FBBF24,26,True,,26,,,,Reveal hidden enemies and cleanse allies.,,,,,
ai_behaviors,AI027,River Flow,river-flow,"Alternates healing, evasion, and sudden strikes.",waves,#0284C7,27,True,,27,,,,Heal over time and exploit speed.,,,,,
ai_behaviors,AI028,Sea Tide,sea-tide,Builds momentum over multiple turns.,anchor,#0369A1,28,True,,28,,,,Increase power each round.,,,,,
ai_behaviors,AI029,Mountain Wall,mountain-wall,"Slow, immovable, and very defensive.",mountain,#57534E,29,True,,29,,,,"Guard, fortify, retaliate.",,,,,
ai_behaviors,AI030,Forest Snare,forest-snare,Controls movement using roots and terrain.,tree-pine,#166534,30,True,,30,,,,"Root, slow, drain.",,,,,
temperaments,TMP001,Friendly,friendly,Approaches peacefully and may offer help.,smile,#4ADE80,1,True,,1,,,,,,,,,
temperaments,TMP002,Curious,curious,Investigates the player before deciding.,search,#60A5FA,2,True,,2,,,,,,,,,
temperaments,TMP003,Neutral,neutral,Ignores the player unless disturbed.,circle,#94A3B8,3,True,,3,,,,,,,,,
temperaments,TMP004,Territorial,territorial,Warns intruders before attacking.,map-pin,#F97316,4,True,,4,,,,,,,,,
temperaments,TMP005,Hostile,hostile,"Attacks on sight due to hunger, rage, or duty.",swords,#EF4444,5,True,,5,,,,,,,,,
temperaments,TMP006,Corrupted,corrupted,Distorted by imbalance and cannot be reasoned with until weakened.,crack,#7F1D1D,6,True,,6,,,,,,,,,
temperaments,TMP007,Divine,divine,Acts according to a sacred trial or higher purpose.,sun,#FDE68A,7,True,,7,,,,,,,,,
temperaments,TMP008,Fearful,fearful,Avoids contact and may flee immediately.,rabbit,#CBD5E1,8,True,,8,,,,,,,,,
temperaments,TMP009,Mischievous,mischievous,Tests the player through tricks instead of direct combat.,mask,#EC4899,9,True,,9,,,,,,,,,
temperaments,TMP010,Grieving,grieving,"Responds to memory, offerings, or unresolved tragedy.",cloud-rain,#64748B,10,True,,10,,,,,,,,,
status_effects,STS001,Bleed,bleed,Loses HP at the end of each turn from open wounds.,droplet,#DC2626,1,True,,1,,,,,harmful,3 turns,yes,,
status_effects,STS002,Burn,burn,Loses HP each turn and suffers reduced physical attack.,flame,#F97316,2,True,,2,,,,,harmful,3 turns,no,,
status_effects,STS003,Poison,poison,Loses increasing HP each turn from venom or rot.,bug,#65A30D,3,True,,3,,,,,harmful,4 turns,yes,,
status_effects,STS004,Sleep,sleep,Cannot act until damaged or duration ends.,moon,#818CF8,4,True,,4,,,,,harmful,1-3 turns,no,,
status_effects,STS005,Fear,fear,May skip actions and receives reduced accuracy.,ghost,#6B7280,5,True,,5,,,,,harmful,2 turns,no,,
status_effects,STS006,Confusion,confusion,May target allies or random enemies.,shuffle,#EC4899,6,True,,6,,,,,harmful,2 turns,no,,
status_effects,STS007,Blind,blind,Accuracy is greatly reduced.,eye-off,#111827,7,True,,7,,,,,harmful,3 turns,no,,
status_effects,STS008,Silence,silence,"Cannot use magic, chants, or ritual skills.",volume-x,#475569,8,True,,8,,,,,harmful,2 turns,no,,
status_effects,STS009,Stun,stun,Cannot act for one turn.,zap-off,#FACC15,9,True,,9,,,,,harmful,1 turn,no,,
status_effects,STS010,Root,root,Cannot move or dodge effectively.,tree-pine,#166534,10,True,,10,,,,,harmful,2 turns,no,,
status_effects,STS011,Slow,slow,Speed and turn priority are reduced.,snail,#94A3B8,11,True,,11,,,,,harmful,3 turns,yes,,
status_effects,STS012,Haste,haste,Speed and turn priority are increased.,wind,#38BDF8,12,True,,12,,,,,beneficial,3 turns,no,,
status_effects,STS013,Blessed,blessed,Faith and spirit defense are increased.,sparkles,#FDE68A,13,True,,13,,,,,beneficial,3 turns,yes,,
status_effects,STS014,Shielded,shielded,Incoming damage is reduced.,shield,#64748B,14,True,,14,,,,,beneficial,2 turns,yes,,
status_effects,STS015,Regeneration,regeneration,Restores HP at the end of each turn.,heart-pulse,#22C55E,15,True,,15,,,,,beneficial,3 turns,yes,,
status_effects,STS016,Purified,purified,Recently cleansed from corruption; resists curses.,sun,#FBBF24,16,True,,16,,,,,beneficial,3 turns,no,,
status_effects,STS017,Cursed,cursed,"Luck, faith, and healing received are reduced.",skull,#4B5563,17,True,,17,,,,,harmful,3 turns,yes,,
status_effects,STS018,Doom,doom,A delayed burst of spiritual damage triggers later.,hourglass,#7F1D1D,18,True,,18,,,,,harmful,3 turns,no,,
status_effects,STS019,Charm,charm,May refuse to attack the source of the effect.,heart,#FB7185,19,True,,19,,,,,harmful,2 turns,no,,
status_effects,STS020,Petrify,petrify,Cannot act and takes reduced damage.,gem,#78716C,20,True,,20,,,,,harmful,1-2 turns,no,,
status_effects,STS021,Spirit Leak,spirit-leak,Loses mana or spirit energy each turn.,swirl,#8B5CF6,21,True,,21,,,,,harmful,3 turns,yes,,
status_effects,STS022,Mana Burn,mana-burn,Takes damage when spending magic resources.,flame-kindling,#B45309,22,True,,22,,,,,harmful,3 turns,no,,
